"country","country.code","super.region","region","sex","age","pop","alcohol.use","drug.use","high.meat","low.exercise","smoking"
"Cambodia","KHM","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","70+ years",223742,153.248221613,2.815738662,1.667199831,213.210005313,466.597825289
"Cambodia","KHM","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","5-14 years",1602495,0.8453085684,0.1466893536,NA,NA,NA
"Cambodia","KHM","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","Under 5",875149.1453,0.2744872063,0.5462003173,NA,NA,NA
"Indonesia","IDN","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","5-14 years",23900000,0.1661151941,0.03802020387,NA,NA,NA
"Indonesia","IDN","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","Under 5",12153048.71,0.01456828329,0.2458071094,NA,NA,NA
"Indonesia","IDN","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","Under 5",12646842.77,0.02293817971,0.2595380238,NA,NA,NA
"Indonesia","IDN","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","70+ years",3434261,87.540090317,27.218353353,0.19650588,381.427910179,1226.311456412
"Indonesia","IDN","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","50-69 years",19091379,24.005354499,3.260345329,0.1276769922,59.134967159,59.053231962
"Indonesia","IDN","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","15-49 years",70715845,11.4873641,8.44964452,0.01759508592,9.538302402,49.839052372
"Indonesia","IDN","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","50-69 years",19048439,32.596709207,24.17027863,0.141095677,96.514099278,416.333926842
"Indonesia","IDN","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","5-14 years",22500000,0.06269521577,0.03542081402,NA,NA,NA
"Indonesia","IDN","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","15-49 years",69582834,4.416274169,1.492092815,0.01438522901,4.282781811,6.817315443
"Indonesia","IDN","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","70+ years",4548311,93.354447745,4.09034983,0.1454238372,310.600246303,161.957810633
"Laos","LAO","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","70+ years",66435,145.339092705,12.361380504,2.266027695,277.09514834,2170.678600669
"Laos","LAO","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","15-49 years",1793814,32.149199978,4.974525655,0.08924722579,3.719038068,43.357611867
"Laos","LAO","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","50-69 years",318874,97.851024475,10.332162492,1.143904137,59.996324126,593.321444467
"Laos","LAO","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","50-69 years",357905,28.907810338,1.571580106,1.202148906,40.068148519,173.088232987
"Laos","LAO","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","70+ years",88386,81.895850599,2.686992957,2.328467235,245.059584267,650.647934526
"Laos","LAO","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","15-49 years",1811572,6.294061313,0.6576937722,0.07699250091,1.714301288,13.494084124
"Laos","LAO","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","5-14 years",748425,0.5083963515,0.002537282917,NA,NA,NA
"Laos","LAO","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","Under 5",425899.5331,0.3936180747,0.01146559114,NA,NA,NA
"Laos","LAO","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","5-14 years",777812,0.9043584214,0.003109362012,NA,NA,NA
"Laos","LAO","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","Under 5",410143.0158,0.405594119,0.01198339845,NA,NA,NA
"Malaysia","MYS","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","Under 5",1255658.236,0.03327463389,0.1723298965,NA,NA,NA
"Malaysia","MYS","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","5-14 years",2409461,0.1493857098,0.1689596047,NA,NA,NA
